Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
clean.RF18D_S113_L001_R1_001	clean.RF18D_S113_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4367200.0	0.0	15-101	47.0	53.31884503322223	96.61605971789704	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RF18D_S113_L002_R1_001	clean.RF18D_S113_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4386746.0	0.0	15-101	47.0	52.79688293964061	96.6483416181379	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RF19B_S103_L001_R1_001	clean.RF19B_S103_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5323718.0	0.0	15-101	47.0	60.1837280589486	97.08033746340433	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RF19B_S103_L002_R1_001	clean.RF19B_S103_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5338622.0	0.0	15-101	47.0	59.919833834558766	97.07837902739696	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RF19C_S83_L001_R1_001	clean.RF19C_S83_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3460972.0	0.0	15-101	46.0	61.50783253918166	98.20009349974517	pass	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass
clean.RF19C_S83_L002_R1_001	clean.RF19C_S83_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3461864.0	0.0	15-101	46.0	61.400161831495424	98.19307921974982	pass	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass
clean.RF20B_S88_L001_R1_001	clean.RF20B_S88_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3839865.0	0.0	15-101	47.0	55.497151262298104	97.10521073006473	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RF20B_S88_L002_R1_001	clean.RF20B_S88_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3847967.0	0.0	15-101	47.0	55.06381215365573	97.11523669511719	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RF20C_S115_L001_R1_001	clean.RF20C_S115_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3989010.0	0.0	15-101	46.0	64.22608858086342	97.0571735844232	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RF20C_S115_L002_R1_001	clean.RF20C_S115_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3994527.0	0.0	15-101	46.0	63.75788955707789	97.07509750215732	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
