gene_id,column_name
Pocillopora_acuta_HIv2___RNAseq.g10545.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10546.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10564.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10570.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10571.t2,0
Pocillopora_acuta_HIv2___RNAseq.g10581.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10637.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10655.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10659.t1,0
Pocillopora_acuta_HIv2___RNAseq.g1066.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10660.t2,0
Pocillopora_acuta_HIv2___RNAseq.g10663.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10667.t1,0
Pocillopora_acuta_HIv2___RNAseq.g1067.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10672.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10675.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10679.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10682.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10707.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10712.t1,0
Pocillopora_acuta_HIv2___RNAseq.g1074.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10745.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10747.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10748.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10749.t1,0
Pocillopora_acuta_HIv2___RNAseq.g1075.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10751.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10754.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10766.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10767.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10777.t1,0
Pocillopora_acuta_HIv2___RNAseq.g1078.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10783.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10791.t1a,0
Pocillopora_acuta_HIv2___RNAseq.g10791.t1b,0
Pocillopora_acuta_HIv2___RNAseq.g10794.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10795.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10797.t1,0
Pocillopora_acuta_HIv2___RNAseq.g1081.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10823.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10836.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10837.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10847.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10856.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10857.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10873.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10875.t1b,0
Pocillopora_acuta_HIv2___RNAseq.g10886.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10887.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10892.t2,0
Pocillopora_acuta_HIv2___RNAseq.g10893.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10894.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10895.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10899.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10903.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10905.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10909.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10918.t1,0
Pocillopora_acuta_HIv2___RNAseq.g1094.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10955.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10957.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10968.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10974.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10976.t1,1
Pocillopora_acuta_HIv2___RNAseq.g10977.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10978.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10987.t1,0
Pocillopora_acuta_HIv2___RNAseq.g10993.t1,0
Pocillopora_acuta_HIv2___RNAseq.g1100.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11005.t1,0
Pocillopora_acuta_HIv2___RNAseq.g1105.t1,0
Pocillopora_acuta_HIv2___RNAseq.g1107.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11074.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11093.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11094.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11095.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11097.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11102.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11120.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11152.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11153.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11177.t1,1
Pocillopora_acuta_HIv2___RNAseq.g11181.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11208.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11210.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11219.t1,0
Pocillopora_acuta_HIv2___RNAseq.g11220.t1,0
