"","KEGGterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","bh_adjust"
"812","K04448",0.999999999999999,0.995668714960722,0,1,1
"894","K04874",0.999999999999999,0.998575640792069,0,1,1
"922","K05105",0.999999999999999,0.997426106558915,0,2,1
"1014","K05858",0.999999999999999,0.997976573175388,0,2,1
"1378","K08844",0.999999999999999,0.997505477508111,0,2,1
"1523","K09539",0.999999999999999,0.996601647820907,0,1,1
"1652","K10414",0.999999999999999,0.999129906317184,0,1,1
"1792","K10956",0.999999999999999,0.998375966913991,0,1,1
"1977","K11830",0.999999999999999,0.995581139471906,0,1,1
"2128","K12591",0.999999999999999,0.998575640792069,0,1,1
"2197","K12842",0.999999999999999,0.998709644301692,0,1,1
"2429","K14206",0.999999999999999,0.998803530448615,0,1,1
"2572","K14785",0.999999999999999,0.997699584152536,0,1,1
"2681","K15172",0.999999999999999,0.998761094792671,0,1,1
"3203","K18342",0.999999999999999,0.99838332675902,0,1,1
"3559","K20773",0.999999999999999,0.99838332675902,0,1,1
"3801","K23406",0.999999999999999,0.99819949426317,0,1,1
"3919","K24048",0.999999999999999,0.998738397775382,0,1,1
"3999","K24554",0.999999999999999,0.998784463152072,0,1,1
"15","K00078",0.999999999999999,0.998206376933534,0,1,1
"196","K01121",0.999999999999999,0.998185483578951,0,1,1
"425","K02358",0.999999999999999,0.998276840588993,0,1,1
"431","K02427",0.999999999999999,0.998569718918542,0,1,1
"447","K02602",0.999999999999999,0.998783488830538,0,1,1
"1012","K05855",0.999999999999999,0.998544817404224,0,1,1
"1044","K06086",0.999999999999999,0.998820255054899,0,1,1
"1267","K08136",0.999999999999999,0.998015931505263,0,1,1
"1763","K10842",0.999999999999999,0.998302746028559,0,1,1
"1813","K11138",0.999999999999999,0.998816159637142,0,1,1
"2007","K11886",0.999999999999999,0.999037189926294,0,1,1
"2037","K12174",0.999999999999999,0.998304611260782,0,1,1
"2219","K12869",0.999999999999999,0.991405223075494,0,5,1
"2372","K13704",0.999999999999999,0.99853698518794,0,1,1
"2411","K14005",0.999999999999999,0.998795086232019,0,1,1
"2472","K14398",0.999999999999999,0.998713729062784,0,1,1
"2516","K14567",0.999999999999999,0.998549854553485,0,1,1
"2693","K15188",0.999999999999999,0.998395042844399,0,1,1
"3399","K19868",0.999999999999999,0.998881450407219,0,1,1
"3403","K19901",0.999999999999999,0.998894988159657,0,1,1
"3657","K22076",0.999999999999999,0.996078111594682,0,1,1
"3838","K23625",0.999999999999999,0.998750730547091,0,1,1
"3862","K23781",0.999999999999999,0.998698010861347,0,1,1
"58","K00411",0.999999999999999,0.997457030932573,0,1,1
"202","K01148",0.999999999999999,0.995160067035572,0,2,1
"250","K01363",0.999999999999999,0.996811242129609,0,2,1
"338","K01886",0.999999999999999,0.996336662517306,0,3,1
"435","K02503",0.999999999999999,0.997577975373737,0,1,1
"454","K02677",0.999999999999999,0.998735236098151,0,1,1
"471","K02830",0.999999999999999,0.998180952925273,0,1,1
"544","K02960",0.999999999999999,0.998321879302484,0,1,1
