"","KEGGterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat"
"200","K01135",1,0.994606398648638,0,3
"201","K01136",1,0.99829503505887,0,1
"202","K01148",1,0.995160028572855,0,2
"203","K01149",1,0.996776820433771,0,1
"204","K01166",1,0.998252242082976,0,1
"206","K01183",1,0.992257417991128,0,3
"207","K01187",1,0.998260654204377,0,1
"208","K01191",1,0.998869281774753,0,1
"209","K01192",1,0.99873050340823,0,1
"210","K01196",1,0.99881185675252,0,1
"211","K01197",1,0.998256706251975,0,1
"212","K01201",1,0.998633870571038,0,1
"213","K01204",1,0.995286782723127,0,3
"214","K01205",1,0.998375904885491,0,1
"215","K01206",1,0.993768662520797,0,3
"216","K01217",1,0.998719717528951,0,1
"217","K01228",1,0.998321773398645,0,1
"218","K01229",1,0.997832702370827,0,1
"219","K01231",1,0.998799260974465,0,1
"220","K01242",1,0.998287461062074,0,1
"221","K01251",1,0.997135777751619,0,2
"222","K01253",1,0.997963755487071,0,1
"223","K01254",1,0.998761997151173,0,1
"224","K01255",1,0.998746822511562,0,1
"225","K01262",1,0.997576264105143,0,2
"226","K01265",1,0.993165565807947,0,4
"227","K01267",1,0.998630568770083,0,1
"228","K01273",1,0.997285086215889,0,2
"229","K01275",1,0.99247612871142,0,4
"230","K01276",1,0.994294384623964,0,3
"231","K01277",1,0.998500268317528,0,1
"232","K01279",1,0.996493525776116,0,1
"233","K01283",1,0.988292430920483,0,6
"234","K01285",1,0.998300470550751,0,1
"235","K01298",1,0.996922868515914,0,2
"236","K01301",1,0.996927929027721,0,2
"237","K01302",1,0.998165680122363,0,1
"238","K01303",1,0.99879036740616,0,1
"239","K01310",1,0.993245277400704,0,3
"240","K01312",1,0.997095592839984,0,1
"241","K01322",1,0.997198788260536,0,2
"242","K01324",1,0.99830736109016,0,1
"243","K01332",1,0.994259820078136,0,4
"244","K01338",1,0.998766735624315,0,1
"245","K01345",1,0.996308022846186,0,2
"246","K01349",1,0.998524903729295,0,1
"247","K01354",1,0.998729240354357,0,1
"248","K01358",1,0.997610199194174,0,1
"249","K01359",1,0.997965204458754,0,1
"250","K01363",1,0.996811413639689,0,2
"251","K01365",1,0.996697436457227,0,2
"252","K01369",1,0.998710794875394,0,1
"253","K01372",1,0.998304453036573,0,1
"254","K01373",1,0.998650897263214,0,1
"255","K01379",1,0.998269329942899,0,1
"256","K01408",1,0.998823870495638,0,1
"257","K01409",1,0.998249489283659,0,1
"258","K01411",1,0.99883277337141,0,1
"259","K01414",1,0.998788833490429,0,1
"260","K01415",1,0.984353089276864,0,12
"261","K01426",1,0.998372123690904,0,1
"262","K01431",1,0.998261148299608,0,1
"263","K01442",1,0.991659036331041,0,2
"264","K01444",1,0.998422639190399,0,1
"265","K01456",1,0.998497144674395,0,1
"266","K01462",1,0.9906654925574,0,2
"267","K01464",1,0.998740176732436,0,1
"268","K01469",1,0.997625547241981,0,2
"269","K01477",1,0.998841629214419,0,1
"270","K01480",1,0.998701400344537,0,1
"271","K01490",1,0.998535633373912,0,1
"272","K01493",1,0.998225172469163,0,1
"273","K01510",1,0.995985067435315,0,1
"274","K01511",1,0.998413025587138,0,1
"275","K01514",1,0.997974847755374,0,1
"276","K01519",1,0.998032347131117,0,1
"277","K01520",1,0.99729043839569,0,1
"278","K01522",1,0.995071092359166,0,1
"279","K01527",1,0.998147977849739,0,1
"280","K01528",1,0.99872905442825,0,1
"281","K01530",1,0.996568470013385,0,3
"282","K01534",1,0.997864993556556,0,1
"283","K01539",1,0.997753591783598,0,2
"284","K01540",1,0.998130864752983,0,1
"285","K01551",1,0.998361485013376,0,1
"286","K01555",1,0.998727546394513,0,1
"287","K01557",1,0.997124356391034,0,1
"288","K01562",1,0.996093658999778,0,1
"289","K01587",1,0.997199387220864,0,1
"290","K01598",1,0.996843392023046,0,1
"291","K01599",1,0.99813219477591,0,1
"292","K01613",1,0.998353646673966,0,1
"293","K01623",1,0.997799045966866,0,1
"294","K01634",1,0.99867370998027,0,1
"295","K01637",1,0.997453267833228,0,1
"296","K01638",1,0.998242432534205,0,1
"297","K01647",1,0.998416320725239,0,1
"298","K01648",1,0.998821544561113,0,1
"299","K01669",1,0.996249288665239,0,2
"300","K01672",1,0.990878691889517,0,5
"301","K01679",1,0.993162354146305,0,2
"302","K01681",1,0.99747092956575,0,2
"303","K01687",1,0.998759548149849,0,1
"304","K01689",1,0.998759417570127,0,1
"305","K01697",1,0.998703185574077,0,1
"306","K01711",1,0.998608355377914,0,1
"307","K01712",1,0.998741786778586,0,1
"308","K01719",1,0.997949349813886,0,1
"309","K01724",1,0.994883155629164,0,1
"310","K01755",1,0.998465840752823,0,1
"311","K01758",1,0.998546843602371,0,1
"312","K01759",1,0.99725074918733,0,1
"313","K01764",1,0.997918591823385,0,1
"314","K01769",1,0.997427210427454,0,2
"315","K01772",1,0.998366275189745,0,1
"316","K01784",1,0.998240724636052,0,1
"317","K01785",1,0.997869012726716,0,1
"318","K01787",1,0.998454905820981,0,1
"319","K01792",1,0.997837428378383,0,1
"320","K01796",1,0.997450360386348,0,1
"321","K01800",1,0.998225399741381,0,1
"322","K01803",1,0.998263413827424,0,1
"323","K01805",1,0.998338959130917,0,1
"324","K01810",1,0.998673264691537,0,1
"325","K01847",1,0.99874820837089,0,1
"326","K01855",1,0.99646744184237,0,1
"327","K01858",1,0.998495815719301,0,1
"328","K01866",1,0.998644673313869,0,1
"329","K01868",1,0.998763684838155,0,1
"330","K01869",1,0.999060443177486,0,1
"331","K01870",1,0.998771318352857,0,1
"332","K01872",1,0.998747570139517,0,1
"333","K01873",1,0.99877949532211,0,1
"334","K01874",1,0.99883180852275,0,1
"335","K01875",1,0.998315082356461,0,1
"336","K01880",1,0.998710368412545,0,1
"337","K01883",1,0.998733516504017,0,1
"338","K01886",1,0.996336624773785,0,3
"339","K01887",1,0.998459597279807,0,1
"340","K01889",1,0.998700579833338,0,1
"341","K01892",1,0.998294027890717,0,1
"342","K01893",1,0.998727211556001,0,1
"343","K01895",1,0.998728045293377,0,1
"344","K01896",1,0.998385606047271,0,1
"345","K01897",1,0.996296692444569,0,3
"346","K01900",1,0.996888897769813,0,2
"347","K01904",1,0.996675498962215,0,2
"348","K01907",1,0.998819609366705,0,1
"349","K01915",1,0.995258950991057,0,2
"350","K01921",1,0.99674310810449,0,2
"351","K01922",1,0.998683021119281,0,1
"352","K01930",1,0.998473327382212,0,1
"353","K01937",1,0.998338368341117,0,1
"354","K01939",1,0.998269180636213,0,1
"355","K01940",1,0.998527881186582,0,1
"356","K01948",1,0.998859769437555,0,1
"357","K01953",1,0.998352413691857,0,1
"358","K01958",1,0.998745333148874,0,1
"359","K01969",1,0.998767446751949,0,1
"360","K02084",1,0.998778290318666,0,1
"361","K02085",1,0.99882194156039,0,1
"362","K02090",1,0.998773338819396,0,1
"363","K02091",1,0.998462330726997,0,1
"364","K02127",1,0.998242745036558,0,1
"365","K02128",1,0.997783320336143,0,1
"366","K02130",1,0.996352179668437,0,1
"367","K02131",1,0.994886775864689,0,1
"368","K02132",1,0.998355592179173,0,1
"369","K02133",1,0.998225229430466,0,1
"370","K02134",1,0.998241086902933,0,1
"371","K02136",1,0.998046870787001,0,1
"372","K02137",1,0.998155560667474,0,1
"373","K02138",1,0.997857774377115,0,1
"374","K02140",1,0.996385209077263,0,1
"375","K02144",1,0.998713774115605,0,1
"376","K02145",1,0.998546672582762,0,1
"377","K02147",1,0.998689003112642,0,1
"378","K02148",1,0.998478653253635,0,1
"379","K02149",1,0.998187228840386,0,1
"380","K02150",1,0.998163606505764,0,1
"381","K02152",1,0.997153636784996,0,1
"382","K02153",1,0.997216093292262,0,1
"383","K02154",1,0.998691264982699,0,1
"384","K02156",1,0.998758104899928,0,1
"385","K02157",1,0.998448153657246,0,1
"386","K02161",1,0.996619833311002,0,1
"387","K02178",1,0.998767574687687,0,1
"388","K02180",1,0.998239644366616,0,1
"389","K02183",1,0.969357758264151,0,13
"390","K02184",1,0.998780320936199,0,1
"391","K02187",1,0.996435964493186,0,1
"392","K02206",1,0.997825061456311,0,1
"393","K02207",1,0.998000073126836,0,1
"394","K02208",1,0.998503848967614,0,1
"395","K02209",1,0.998309501603929,0,1
"396","K02210",1,0.998458913510225,0,1
"397","K02211",1,0.997159619899914,0,1
"398","K02212",1,0.99861679421582,0,1
"399","K02222",1,0.998123446749903,0,1
"400","K02223",1,0.998804211087747,0,1
"401","K02263",1,0.996906815115779,0,1
"402","K02264",1,0.998003022929782,0,1
"403","K02266",1,0.998038536036434,0,1
"404","K02267",1,0.996194122777104,0,1
"405","K02270",1,0.993726342063259,0,2
"406","K02272",1,0.995991827114591,0,1
"407","K02295",1,0.995314625022356,0,3
"408","K02296",1,0.998317237183169,0,1
"409","K02310",1,0.997726635410511,0,1
"410","K02311",1,0.995534583609972,0,3
"411","K02318",1,0.997706905656009,0,1
"412","K02324",1,0.999016788354879,0,1
"413","K02326",1,0.996263901460631,0,1
"414","K02327",1,0.998736852342337,0,1
"415","K02328",1,0.998153462738781,0,1
"416","K02330",1,0.998745735220473,0,1
"417","K02331",1,0.998794882127027,0,1
"418","K02333",1,0.998051365373378,0,1
"419","K02349",1,0.998672009204188,0,1
"420","K02350",1,0.998884879381461,0,1
"421","K02353",1,0.998647332878045,0,1
"422","K02354",1,0.996414874321604,0,1
"423","K02355",1,0.998240757752312,0,1
"424","K02357",1,0.997214428548778,0,1
"425","K02358",1,0.998276961267223,0,1
"426","K02366",1,0.998606476916247,0,1
"427","K02370",1,0.998245367704532,0,1
"428","K02374",1,0.999002548226502,0,1
"429","K02375",1,0.992176002261367,0,2
"431","K02427",1,0.998569761284539,0,1
"432","K02432",1,0.996411703618664,0,1
"433","K02437",1,0.99761591805905,0,1
"434","K02449",1,0.996940382072217,0,1
"435","K02503",1,0.99757783647442,0,1
"436","K02513",1,0.998252211236348,0,1
"437","K02516",1,0.998617880215426,0,1
"438","K02519",1,0.998636536643251,0,1
"439","K02520",1,0.995027791355873,0,1
"440","K02540",1,0.99868927411609,0,1
