"","KEGGterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","bh_adjust"
"283","K01539",0.103060410514006,1,2,2,1
"1076","K06237",0.103060410514006,1,2,2,1
"1700","K10609",0.103060410514006,1,2,2,1
"2022","K11997",0.104810913340321,0.984098199978591,3,5,1
"3890","K23901",0.12671341103646,0.978938183847539,3,5,1
"1441","K09267",0.137809423811576,0.987321841124347,2,3,1
"1671","K10478",0.140755622010877,0.986870590436548,2,3,1
"3717","K22754",0.154891232568816,0.961477384381935,4,7,1
"68","K00461",0.181818402716993,0.963710848839366,3,5,1
"2305","K13172",0.186183236716749,0.962371183328733,3,5,1
"884","K04739",0.188785022118765,0.978546213030113,2,3,1
"2898","K16669",0.191963872880808,0.960567185586843,3,5,1
"3650","K22017",0.191989407291364,0.96055914167618,3,5,1
"3260","K18669",0.20702662527659,0.974904630517356,2,3,1
"2151","K12625",0.207226429514558,0.974863266837489,2,3,1
"445","K02583",0.207487032557735,0.974809268256359,2,3,1
"3141","K17920",0.209607905426985,0.974367776992315,2,3,1
"2462","K14354",0.220112721451041,0.972127491591535,2,3,1
"2212","K12862",0.221704965587284,0.971780120713704,2,3,1
"2778","K15626",0.226817656429389,1,1,1,1
"1100","K06625",0.228152781350973,1,1,1,1
"509","K02911",0.229847934277085,1,1,1,1
"2356","K13485",0.230894889650193,1,1,1,1
"1149","K07023",0.231498023172114,1,1,1,1
"1407","K09037",0.231578391352796,1,1,1,1
"3571","K20819",0.232301170835213,1,1,1,1
"827","K04507",0.232541881083255,1,1,1,1
"3821","K23543",0.232862657415675,1,1,1,1
"1379","K08851",0.233063042726146,1,1,1,1
"2828","K16336",0.233463580442328,1,1,1,1
"1302","K08509",0.233583680719858,1,1,1,1
"3778","K23313",0.233917143409,1,1,1,1
"3738","K22904",0.234143771792039,1,1,1,1
"1444","K09273",0.23422373371195,1,1,1,1
"1563","K09659",0.235301946524222,1,1,1,1
"3023","K17424",0.235301946524222,1,1,1,1
"2973","K17108",0.235458707191169,0.968693422983557,2,3,1
"3180","K18168",0.235740527387315,1,1,1,1
"3780","K23318",0.236536897773467,1,1,1,1
"770","K04265",0.237212727599104,1,1,1,1
"2921","K16753",0.237689172171944,1,1,1,1
"3095","K17682",0.237702399435159,1,1,1,1
"1929","K11592",0.237934476949603,0.968121315147624,2,3,1
"778","K04362",0.238663057719674,0.967951990101241,2,3,1
"1442","K09270",0.238719695410775,1,1,1,1
