Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
RF23C_S108_L002_R1_001	RF23C_S108_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4378729.0	0.0	101.0	42.0	66.11389805277558	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
RF24B_S92_L001_R1_001	RF24B_S92_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4798379.0	0.0	101.0	43.0	68.19255156714246	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
RF24B_S92_L002_R1_001	RF24B_S92_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4797714.0	0.0	101.0	43.0	67.56921828563766	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
RF24D_S111_L001_R1_001	RF24D_S111_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4698673.0	0.0	101.0	43.0	64.20861292756666	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
RF24D_S111_L002_R1_001	RF24D_S111_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4708659.0	0.0	101.0	43.0	63.75465098851265	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
RF25A_S96_L001_R1_001	RF25A_S96_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4295262.0	0.0	101.0	44.0	66.19728053300207	101.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
RF25A_S96_L002_R1_001	RF25A_S96_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4307101.0	0.0	101.0	44.0	65.68565349596224	101.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
RF25C_S110_L001_R1_001	RF25C_S110_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4459524.0	0.0	101.0	43.0	64.68203589104749	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
RF25C_S110_L002_R1_001	RF25C_S110_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4466355.0	0.0	101.0	43.0	64.4145070461147	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
RS11B_S86_L001_R1_001	RS11B_S86_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4331619.0	0.0	101.0	44.0	63.1256919816139	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
RS11B_S86_L002_R1_001	RS11B_S86_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4329938.0	0.0	101.0	44.0	62.681856987796046	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
RS11D_S87_L001_R1_001	RS11D_S87_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4023316.0	0.0	101.0	43.0	63.43860764255753	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
RS11D_S87_L002_R1_001	RS11D_S87_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4027463.0	0.0	101.0	43.0	63.008948468531344	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
RS12A_S105_L001_R1_001	RS12A_S105_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5258307.0	0.0	101.0	43.0	68.57352693746995	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	pass	pass
RS12A_S105_L002_R1_001	RS12A_S105_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5289064.0	0.0	101.0	43.0	67.94978425450951	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	pass	pass
RS12C_S106_L001_R1_001	RS12C_S106_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3877660.0	0.0	101.0	45.0	59.3777043843036	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
RS12C_S106_L002_R1_001	RS12C_S106_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3886158.0	0.0	101.0	45.0	58.86585549904797	101.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
RS13A_S121_L001_R1_001	RS13A_S121_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5174607.0	0.0	101.0	42.0	64.60133587962648	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
RS13A_S121_L002_R1_001	RS13A_S121_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5179468.0	0.0	101.0	42.0	64.01186160113173	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
RS13C_S119_L001_R1_001	RS13C_S119_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4882245.0	0.0	101.0	43.0	61.118731146686045	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
RS13C_S119_L002_R1_001	RS13C_S119_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4889653.0	0.0	101.0	43.0	60.51902820501708	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
RS14B_S107_L001_R1_001	RS14B_S107_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4889181.0	0.0	101.0	44.0	66.12001110427435	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
RS14B_S107_L002_R1_001	RS14B_S107_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4894666.0	0.0	101.0	44.0	65.64941891703891	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
RS14C_S109_L001_R1_001	RS14C_S109_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4427968.0	0.0	101.0	45.0	53.03014831575832	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
RS14C_S109_L002_R1_001	RS14C_S109_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4426050.0	0.0	101.0	45.0	52.63877949749391	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
RS15B_S104_L001_R1_001	RS15B_S104_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4182799.0	0.0	101.0	44.0	62.72412697902507	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
RS15B_S104_L002_R1_001	RS15B_S104_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4190032.0	0.0	101.0	44.0	62.195447109241464	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
RS15D_S82_L001_R1_001	RS15D_S82_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3028863.0	0.0	101.0	46.0	59.899447877835655	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
RS15D_S82_L002_R1_001	RS15D_S82_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3027328.0	0.0	101.0	46.0	59.61662244311062	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
RS1B_S102_L001_R1_001	RS1B_S102_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4014308.0	0.0	101.0	44.0	64.86584983743995	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
RS1B_S102_L002_R1_001	RS1B_S102_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4017038.0	0.0	101.0	44.0	64.38465228906861	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
RS1C_S127_L001_R1_001	RS1C_S127_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4599738.0	0.0	101.0	44.0	59.751051896985516	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
RS1C_S127_L002_R1_001	RS1C_S127_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4629672.0	0.0	101.0	44.0	59.37916130582994	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
RS2B_S123_L001_R1_001	RS2B_S123_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5045525.0	0.0	101.0	44.0	61.12528506857301	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
RS2B_S123_L002_R1_001	RS2B_S123_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5049857.0	0.0	101.0	44.0	60.85262203914007	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
RS2C_S89_L001_R1_001	RS2C_S89_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3999976.0	0.0	101.0	43.0	63.96405806170197	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
RS2C_S89_L002_R1_001	RS2C_S89_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4006781.0	0.0	101.0	43.0	63.338589114574816	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
RS3B_S100_L001_R1_001	RS3B_S100_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4476277.0	0.0	101.0	43.0	60.87166831027435	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
RS3B_S100_L002_R1_001	RS3B_S100_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4483808.0	0.0	101.0	43.0	60.191780447487986	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
RS3D_S117_L001_R1_001	RS3D_S117_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4320150.0	0.0	101.0	43.0	63.7803469090683	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
RS3D_S117_L002_R1_001	RS3D_S117_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4336730.0	0.0	101.0	43.0	63.505451781114985	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
