"","Pocillopora_acuta_best_hit","X","accessionnumber.geneID","definition","Ref","substanceBXH","geneSymbol","moduleColor","GO.terms","GO.description","GS.Flat","GS.Slope","p.GS.Flat","p.GS.Slope","A.blue","p.A.blue","A.black","p.A.black","A.pink","p.A.pink","A.red","p.A.red","A.salmon","p.A.salmon","A.greenyellow","p.A.greenyellow","A.turquoise","p.A.turquoise","A.cyan","p.A.cyan","A.brown","p.A.brown","A.lightcyan","p.A.lightcyan","A.tan","p.A.tan","A.green","p.A.green","A.purple","p.A.purple","A.magenta","p.A.magenta","A.midnightblue","p.A.midnightblue","A.grey60","p.A.grey60","y_Stable_Slope","y_Variable_Slope","y_Stable_Flat","y_Variable_Flat","LCI_Stable_Slope","LCI_Variable_Slope","LCI_Stable_Flat","LCI_Variable_Flat","UCI_Stable_Slope","UCI_Variable_Slope","UCI_Stable_Flat","UCI_Variable_Flat"
"21","Pocillopora_acuta_HIv2___RNAseq.11750_t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9270833333332,15.9375000000003,5.94318181818181,7.30681818181818,6.83325212426799,8.45560406971149,2.98304933006105,3.6969586161718,24.4553370002931,30.039711433494,11.840706007783,14.4414902857186
"22","Pocillopora_acuta_HIv2___RNAseq.1177_t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1250000000002,9.44791666666667,9.94318181818182,10.670454545455,4.58848490805711,4.7550129996081,4.86003592844725,5.22425459462325,18.1466489851136,18.7724259318817,20.3428258813323,21.7942288501414
"23","Pocillopora_acuta_HIv2___RNAseq.1179_t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.5937500001758,21.5833333333333,20.6363636363637,20.204545458433,20.3461380451225,15.830949598746,14.9121001833576,14.5919445218769,37.4230744617766,29.4259213493218,28.557983040344,27.9759600627496
"24","Pocillopora_acuta_HIv2___RNAseq.11847_t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5104166666667,20.9270833333348,28.5454545454546,29.0909090909091,14.0770282750233,15.9734310020684,21.7013875188301,22.1253266101069,24.3400466689086,27.4169536140125,37.5479666680105,38.249423687556
"25","Pocillopora_acuta_HIv2___RNAseq.11901_t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.901605271947,37.266282170038,36.8888003404146,33.261283485212,33.9501489117339,31.663692980828,31.1270643421182,27.9811485137446,46.8963511004805,43.8601962069862,43.7170552159553,39.5377973330941
"26","Pocillopora_acuta_HIv2___RNAseq.1237_t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.78124999999994,7.36458333333334,8.42045454545514,5.43181818182064,3.83565625264337,3.20329719476576,3.54156905266772,2.25489783709305,20.1035615507406,16.9316439830296,20.0205201981497,13.0846942486733
"27","Pocillopora_acuta_HIv2___RNAseq.12516_t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.9166666666667,24,21,20.5681818185483,16.289583947874,18.7650697884454,16.1757224637898,15.8325263073497,26.8580797302405,30.6953294868465,27.2630790363276,26.720315830107
"28","Pocillopora_acuta_HIv2___RNAseq.1261_t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.4166666666974,19.010416869665,9.57954563850907,14.1022727282445,11.8828885822697,12.2736002024497,5.94922677870649,8.86757495553268,28.5430271237516,29.4449830202481,15.4251465028588,22.4271119329764
"29","Pocillopora_acuta_HIv2___RNAseq.1271_t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1145833743865,12.1145833658518,14.7613638114457,10.5795455538801,6.64443304145429,6.12871010731681,7.2712456176323,5.17719839216147,25.8851727469724,23.9468220160975,29.9670610831067,21.6191800368491
"30","Pocillopora_acuta_HIv2___RNAseq.1287_t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.83333333333334,9.01041666668501,8.10227272727275,10.7386363636393,6.28632693658556,6.41907705234816,5.65125827994351,7.60328413566641,12.4123003090512,12.647863212294,11.6163197813999,15.1669079956552
