"","MEcyan","MEblack","MEsalmon","MEpink","MEred","MEgreen","MEmidnightblue","MEblue","MEbrown","MEpurple","MEturquoise","MEtan","MEmagenta","MElightcyan","MEyellow"
"RF19B",0.0534562058163414,-0.0520853831168224,-0.10854276292808,-0.172066711184453,-0.0512888819723108,0.117290245801389,-0.0659116911625667,0.170414347287965,0.156245872377976,0.249858294282513,-0.186757002657456,0.116936546135996,-0.0213846984888186,0.0297389913755717,0.128738799298995
"RF19C",0.00584092905308323,-0.133192275574548,0.229733153031091,0.163541519434879,0.1172686494935,0.0805819737726676,0.00638783621600785,-0.165342984533348,0.207082709548359,0.228549560672011,0.0408826620364976,0.163346305429412,-0.113708482317377,-0.226848537925519,-0.155862227673279
"RF20B",0.0175489549302655,-0.203191630223259,-0.114089694878459,0.064871707577568,0.168741529236371,0.0945573982860267,-0.072507722491632,0.157514108985116,0.16773636760316,0.252338376163051,-0.249292334416795,0.103224721434374,-0.0716799806411972,-0.0667742853590412,0.114648118031889
"RF20C",0.0517627627973812,-0.0794453759552853,0.0152897574897451,-0.000632307478072258,0.11343503496585,0.0826142221164264,-0.0267314858035516,0.0561976166681062,0.220340540211283,0.281522016901093,-0.150262214699028,0.220902418142108,-0.07907013779412,-0.00587865583940657,0.146705923740618
"RF22B",0.0146616850339336,0.0136234809238058,0.066325514020871,0.0149928170535155,0.0784595688483156,-0.0744941634299297,-0.0109426095118115,-0.119762958752631,0.00398577295626932,0.00645538296694966,0.0915416056701387,0.0181934965014985,-0.0330641664851196,0.0342880781789715,0.0284523896538482
"RF22C",0.00548116138040306,-0.0119911906685029,-0.231270486508517,0.0863902854261658,0.275503463342485,-0.0819959484650831,-0.193092266905964,0.160982246590635,0.0426061482874729,0.0148348145237944,-0.186848856424111,-0.00209252464083904,-0.0378492070827022,0.0108814169607956,0.0903750795156652
"RF23A",0.0347675689625959,0.312454266027725,0.105376689564798,0.0596190519721679,0.121434086315856,0.0711261865835612,0.107378712604754,0.103133957308563,0.0610658347147744,-0.140951045083716,-0.0895656739800288,-0.21070205217908,-0.255329622138423,-0.0807435519387008,0.0141225016582985
"RF23C",0.0202737297023096,0.295349868768291,0.288780992506982,0.362142773703439,0.354054405308842,-0.00417793388942494,0.0506762137150103,0.0534593192822924,0.114909745025593,-0.170884781459991,0.013769414436652,-0.283396350643973,-0.350307536570902,-0.256935675765359,-0.153623197660762
"RF24B",0.0913070181880523,0.356715053781797,0.104284705885266,0.0647018282492195,0.0693294328413056,0.00516462113188351,0.00141271116884595,0.189524673667949,0.106044589489871,-0.118486410761063,-0.105806482542514,-0.251013441927434,-0.241229365603528,-0.119388794770906,-0.0397968491888273
"RF24D",0.0729544308472988,0.306302794064436,0.0319222559959818,0.0353817295436907,0.136688440655268,0.0690746536762911,0.0916879301080528,0.145383990298754,0.0762694077859199,-0.116667084602989,-0.105876790130486,-0.114720296353397,-0.107578382963908,0.00224958616697619,-0.00677317707363009
"RF25A",-0.00801974312287239,0.0805759238924171,0.068680685016411,-0.0562018150995897,-0.00875384997524138,-0.0458735600228212,0.0447707556437107,-0.0920528488023774,-0.00786585118177581,0.028912532596511,0.0407216981589479,0.0670212212537379,0.0603197885865455,0.136314598934318,0.132236411935035
"RF25C",0.0240384356959202,0.0934580651204744,-0.140434773236056,-0.166264237763436,-0.107128278764011,0.0909386759917717,0.122166869984588,0.0997747203936718,-0.0190585477457632,0.015509776660052,-0.0811985202878167,0.0273343674903018,0.091429117909369,0.115822837886949,0.122990690350678
"RS11B",0.0376314369238462,-0.00464433018282219,0.0717069463536508,0.17105901286451,0.0177296440359451,0.100621729414454,0.140270364206069,-0.116182506794475,-0.092245923548439,-0.0851167145244015,0.130518858921314,-0.0799162317701775,0.022147376506662,-0.150987000537771,-0.158996790114586
"RS11D",0.000939214374430071,-0.0265195194745857,-0.0760548288880275,-0.0123017549716916,-0.00627331659908406,0.396603983045071,0.455754674938807,0.0727908918423671,-0.153945434124357,-0.0628538011072335,-0.0148696732341951,-0.015876830852112,-0.00966899808451143,-0.0603016382391899,0.0548167862734836
"RS12A",0.00792702360726742,-0.0185929436478633,-0.19921617259073,-0.425169059352984,-0.241314558005138,-0.226139003694362,-0.239064771439565,0.0591815525077548,-0.215804219589716,-0.0525968458981868,-0.0078858660813965,0.121356930358006,0.213579018564855,0.410469539038386,0.293024916174977
"RS12C",0.052806464857046,0.0254483903734158,0.158852235612418,-0.223336433107241,-0.195810792060731,-0.0562933079142545,0.0886475059966427,-0.264331269218482,-0.180395235037965,-0.0952775719429365,0.308619894175874,0.209851743751736,0.09751170633138,0.110170934119786,-0.0863228197721067
