"","MElightsteelblue1","MEplum1","MEdarkturquoise","MEskyblue","MElightyellow","MEviolet","MEsteelblue","MEpaleturquoise","MEsalmon","MEdarkgrey","MEgreen","MEgreenyellow","MEsienna3","MEblack","MElightgreen","MEcyan","MEpink","MElightcyan1","MEdarkolivegreen","MEdarkorange","MEmagenta","MEskyblue3","MEyellowgreen","MEblue","MEmediumpurple3","MEmidnightblue","MEred","MEbrown","MEyellow","MEturquoise","MEorange","MEsaddlebrown","MEdarkmagenta","MEroyalblue","MEdarkgreen","MEdarkred","MEtan","MEwhite","MEorangered4","MEgrey60","MEpurple","MEgrey"
"RF18B",-0.00865786474255044,0.0148561777577583,0.00545400370211295,0.00708652381408657,0.00843240658807767,-0.0130591931991361,-0.0365519050416718,-0.0401059826314377,-0.0154939044552386,-0.0443037387032297,-0.0330093561987227,-0.0421442793678797,-0.016497460902189,-0.0391654414032075,-0.0428365817205255,-0.0374073993421478,-0.0369288298142301,-0.0259304969880139,-0.0333036797371207,-0.0285522408111963,-0.0178651074310555,0.00779168871568143,-0.0146687975587747,-0.0193579133132143,-0.0333469593908155,-0.0235694021458515,-0.0316378816114744,-0.0452183120295839,0.000193387692527336,-0.0370285234933271,-0.0321801254542103,-0.0237432245869308,-0.0323583321588912,-0.0228975055512817,-0.0363382706986957,-0.0382305432263885,-0.0262238545300843,-0.0298559604038866,0.00464926851338714,-0.0319899965883833,-0.019409917150979,2.81057166752868e-05
"RF18D",-0.0148949808675346,-0.0118035113273628,-0.0034767435878691,0.983516075618231,0.003509538323607,-0.00113526857799506,-0.0265305820808581,-0.0407095853016466,-0.03005389200644,-0.0441274301967052,-0.038411436105111,-0.054161185000411,-0.0275763571204268,-0.0316549084904041,-0.0549543219766792,-0.0378391012737744,-0.0369009775071474,-0.0332078589712607,-0.0130254290668903,-0.0232461563972473,-0.0230689023990706,-0.0331845686463483,-0.0219937864094301,-0.0236840119806558,-0.0304849370102049,-0.0373312672143611,-0.0291666874137199,-0.0493303611538065,-0.00944055374076203,-0.0420446615109049,-0.0386947716999764,-0.0342105677432199,-0.0396360512800659,-0.0363480171597852,-0.0625656986834208,-0.0142241598783463,-0.0395860421738158,-0.0292830800768163,-0.0414977972892213,-0.0433821671263988,0.0171663623088809,2.85184422892446e-05
"RF19B",0.01710256165479,0.0228058492167016,0.0205125365343113,-0.0113741174980595,0.984335189265253,0.0044933710914411,-0.0351897867272106,-0.0476065910795618,-0.0157793916983956,-0.0197176305446812,-0.0121669634088622,-0.0418074987254589,-0.0213615863659565,-0.00683809634849741,-0.0290582937620553,-0.0175925386540181,-0.025404609164053,-0.0111906752609344,-0.00287781423040719,-0.0186644170881334,-0.0191175389772943,-0.0253057552330111,-0.0272825183896283,-0.000102497174806612,-0.00141406989697405,-0.0134484655938661,-0.0157394793852781,-0.0177884346262712,-0.00985696094371789,-0.0214819664752028,-0.00992258445319327,-0.0228025665631884,-0.00978023720255275,-0.0088813724438867,-0.0232626311181118,-0.0215637981174411,-0.0175485313481482,-0.00598253568106802,-0.00482605650145865,-0.0279003862199045,-0.00858201528946135,3.00957246784485e-05
"RF19C",0.984816949811206,-0.00951375600152721,-0.0171928019911094,-0.0278737636843196,-0.0181512713781886,-0.00509819722450751,-0.0417059747108239,-0.028828528938276,-0.0320380422677076,-0.0451554782837157,-0.0325113503926602,-0.0247625172694371,-0.0293862318362499,-0.0288830608204947,-0.0399858265461983,-0.0317384760145384,-0.0679611519386209,-0.0296690867742895,-0.0347323170467247,-0.0382932030201814,-0.0188135140464896,-0.0234352349328044,-0.023426122259495,-0.027106369225679,-0.034422029122612,-0.0231414068574237,-0.0338724074472343,-0.0252289700658309,-0.0404588372666671,-0.0408406419663819,-0.0407441030951236,-0.0325216482858411,-0.0310235083076739,-0.0412942225370019,-0.0278966338505857,-0.0281031823570273,-0.0424669625448004,-0.0135468800191446,-0.0353633060909262,-0.0392960849676811,-0.0173220078705625,4.98984001485366e-07
"RF20B",-0.00593654816993389,-0.0207111034099939,0.982549655118603,0.000989333888468871,-0.0171622906809568,-0.0121684299881817,-0.0350712759696459,-0.0513801404401419,-0.0180850866225347,-0.0351053169307074,-0.0152287915256912,-0.0468140108804877,-0.0462269687436313,-0.0252475536132805,-0.0420328524197436,-0.0368664313358282,-0.0454210109043345,-0.0303171147801228,-0.0282178506885303,-0.0434553393655987,-0.0174115779297342,-0.0310271599478745,-0.0185369337140555,-0.0321707239670946,-0.0259175944324546,-0.0529910225881258,-0.0271470534019182,-0.0380538270722967,-0.0154152070699282,-0.0305561259769251,-0.030940677197045,-0.0292920746934402,-0.0338121968154364,-0.034862652826368,-0.0386832081923844,-0.0380392607226255,-0.0403540270926719,-0.017714003114134,-0.0328352753188193,-0.0205616829305533,-0.0247693137785716,3.27300818886648e-05
"RF20C",0.00734662688822137,0.00352601198052103,0.00609052472222029,0.0166110701538894,0.0176360114044786,0.984741334602345,-0.0339579469435117,-0.028392777599265,-0.0199589772774186,-0.0163649288365266,-0.0145688168029282,-0.0504379857579427,-0.00475872136262226,-0.022048825755733,-0.0249194037552617,-0.0246137888871017,-0.00271461707575391,-0.0181877950482368,-0.00949763618203916,-0.0147241726195635,-0.000989324142181446,-0.024903812256142,-0.0336823441594357,-0.0152336478808164,-0.0147950248192979,-0.0130918113723456,-0.00914237863061907,-0.0232662235207556,0.0142689512145093,-0.0297881450243443,-0.0163942406610244,-0.0245168086280459,-0.0331700040401204,-0.00921789364226526,-0.0291477304089118,-0.0182328342185102,-0.0260386726749696,-0.00137739426227389,-0.0229614479792562,-0.024583609134017,-0.0152584635692099,8.70580107881758e-06
"RF22B",-0.0134133794683155,-0.0269346412749153,-0.0336883918006489,-0.0261285224968944,-0.0177562248721219,-0.0102378739454575,-0.0268650677995661,-0.034164752076358,-0.00605554319713011,-0.0263413903056631,-0.00860387418286141,-0.0187412815629734,-0.00432184447483306,-0.0198689293116302,-0.0109076429096469,-0.0157723731543584,-0.0182543422448013,-0.0251603198481733,-0.019145426114225,-0.0133248749755669,-0.00574620656272405,-0.0142583815736021,-0.0207936449527538,-0.0168936073388049,-0.0097063219642474,-0.00791847881222931,-0.0151189495113327,0.965305951770416,0.0203403912420189,-0.0107662910355294,-0.0137101470965478,-0.00387454761766049,-0.025910612036953,-0.00806306713870303,-0.0120725905333373,-0.0101308736214585,-0.0194406877877628,-0.00228549962950597,-0.00725002605146067,-0.00897940408329297,-0.0226096382923227,-6.68327499048466e-06
"RF22C",-0.042933391959108,-0.0168584678945043,-0.00760823221965558,-0.0340633408552318,-0.0197501285217036,-0.0204770888648186,-0.0269065187642346,-0.0342611907492124,-0.0253257235316435,-0.0235166402214465,-0.0184403598966512,-0.0374245636316327,-0.0175308277573481,-0.0317187574206868,-0.037941458272241,-0.0359722115763323,-0.00816605828110812,-0.0318194625159106,-0.0191248554352736,-0.0066832049439394,-0.0129310839715905,-0.0318542194392806,-0.0121399063957192,-0.0138522974899481,-0.0380238553740372,-0.0221372131023805,-0.0176632766515802,0.16393358868316,0.977726472426089,-0.0242039139897327,-0.0242164620646032,-0.00578197978494131,0.01521544151127,-0.0372337713592716,-0.041968014278316,-0.0090369051030556,-0.0257723512891835,-0.0264466936969611,-0.0352210999118005,-0.0327997225948057,-0.0464298267091388,3.10305020946914e-05
"RF23A",-0.0203453982613213,-0.0204728299918925,-0.0148529222434095,-0.014613883115187,-0.0264072028514278,-0.0151091225821065,-0.0379294157340614,-0.0214563458017805,-0.0355394388098508,-0.02247213982525,-0.020426503579205,-0.0311642064319961,-0.0293102332752108,-0.0297846311233236,-0.0372527466419083,-0.0327343771231576,-0.0189064260302758,0.98596450891734,-0.0129617631976461,-0.00219010090094292,-0.00363493434686613,-0.00923360381954499,-0.00709943838612529,-0.0255709304215905,-0.0256326671340447,-0.023778669040069,-0.0137935717056658,-0.0262689335602699,-0.00930274802948501,-0.027529919052679,-0.0256344875914576,-0.00673887991517374,-0.02444874124279,-0.0202458650804485,-0.0284491307093735,-0.0121681304501797,-0.0176603332740376,-0.0275375649315477,-0.0178439176141695,-0.0385011746040619,-0.0329381050189974,1.75989748842647e-05
"RF23C",-0.031922024420134,-0.0259282965821668,-0.0190145742916702,-0.0278758665467806,-0.0326767744444573,-0.0203301981942998,-0.0369062649539393,-0.0176624202109526,-0.0325426431996381,-0.0307312595089793,-0.031180669701324,-0.0318694857793561,-0.0138384546111899,-0.033394841924602,-0.025281258016072,-0.0274788223782151,-0.0561361991177759,0.00263673519825449,-0.00860977028464367,0.0237067863781436,0.000645525131732339,0.00973504056723025,0.984116489051961,-0.0263934350153996,-0.0240153004394384,-0.0362041473821113,-0.0179800171142597,-0.0145353185125153,-0.00513481816736297,-0.0149331372126736,-0.0364855039969408,-0.0219223637627516,-0.0178440415800619,-0.0191766089443061,-0.0169981581814708,-0.0251328016301171,-0.0302278765129598,-0.0171580389870579,-0.0225069399945047,-0.0227926595236859,-0.0409551618047583,1.62350421953898e-05
"RF24B",-0.0266089373211314,-0.0191806980174514,-0.0310657804905972,-0.0293732283654898,-0.0217958830275923,-0.0325022988831143,-0.035568598383369,-0.0294566682850615,-0.0176860975968617,-0.0209158044796156,-0.0156265936117972,-0.0207385543113183,-0.0238294982397485,-0.0221111257786627,-0.0297890448240086,-0.0300978849536988,-0.0293705314099902,-0.0118478539983749,0.008090658484459,0.91922949787417,-0.00634719264676736,-0.00714655885820641,-0.00652467909341945,-0.0246888022284038,-0.0120367248119404,-0.0257312852361591,-0.0195570806193432,-0.0236909005850955,-0.00819344858072885,-0.0149056363496729,-0.019126091460608,-0.037304239059609,-0.00251522181208385,-0.025072313291116,-0.0120587023482639,-0.0273627843819737,-0.0108419598420183,-0.0215465362733866,-0.0123347000174146,-0.0298310696847216,-0.035161693452482,3.24050301491109e-05
"RF24D",-0.0271175888103089,0.00188999449916114,-0.00210217611436016,-0.0229287157571923,-0.0111327203860797,-0.0192128878121238,-0.0226679262282234,-0.0179333349697004,-0.0392555466318638,-0.0286098856792998,-0.00970915976997389,-0.0260400609584296,-0.0214536391786704,-0.0344935613271826,-0.0363947214200783,-0.0154464267185826,-0.00335487931061219,-0.00738572815767164,0.98619732971724,0.0398609856553996,0.029260556082148,0.0104711221173295,-0.00357062070601122,-0.0306202612003989,-0.0124219197425932,-0.0124417612350248,-0.0175607812508878,-0.017609441234412,0.0162314205690764,-0.00021126061776949,-0.0254432594497799,-0.0333285882592105,-0.0236188183165454,-0.0138136613506858,-0.0112024535670105,-0.034162103238223,-0.0182726191501851,-0.00798547018142658,0.00742666275589802,-0.028228728414002,-0.0277881436267951,2.43805511386037e-05
"RF25A",-0.00827824563032272,-0.00847509500894693,-0.0227522107397084,-0.0204123963039363,-0.0128048891938179,-0.0250634322135186,0.000716175049642252,-0.00577153001570743,-0.0137125739538312,-0.0138873439164293,-0.0302882848354429,-0.00858797713842956,-0.0173055435220077,-0.0154024173087624,-0.0151648845918455,-0.0154241245470607,-0.0119162919007719,-0.0229234370545548,-0.0171359583142423,-0.0308184355160132,-0.0196142734332672,-0.0169534670498564,-0.0103579538622217,-0.00250128962471159,-0.0167245721878517,0.983009750479515,0.147535760337963,0.0255981280131843,-0.0111505597627436,-0.0161170013449419,-0.0171254692613217,-0.0139293880001474,-0.0133119413450317,0.00340960583137964,-0.0212306361134179,-0.00270205994591573,-0.020605141590261,-0.00572456197225428,-0.0342280078292474,-0.00808920297895787,-0.0181364473271305,-1.43224539109456e-05
"RF25C",-0.0102158555065061,-0.0316233146162441,-0.0198881598869882,-0.0203040656597573,-0.0146045932637897,-0.0222380338495796,0.0101417131029628,-0.0305695210489102,-0.0123828921599172,-0.014741091476032,-0.0210105754882696,-0.020894267955615,-0.0242795280074687,-0.00941608552317139,-0.0411970254380855,-0.000825788432731514,-0.010832829728552,-0.0159096724459491,-0.010444979914848,-0.006808883245064,-0.00654585791548179,-0.0195864260425215,-0.0299681417840902,0.00223748287408173,-0.0141194712924548,0.0544366832339541,0.971302812571066,0.00373102361091546,-0.00299886611316619,-0.00115437995801465,-0.0295411570177761,-0.0114093016730371,-0.0017924843754291,-0.0274894454001167,-0.0183947972788714,-0.00733362525425749,-0.017019143772849,-0.00427173516437927,-0.0147772668596324,-0.0116621561702088,-0.00233816298498882,2.3193364163284e-05
"RS11B",-0.00191611609554847,-0.0435900973569002,-0.0142920154123152,-0.0303129718061269,-0.0214511917233669,-0.0138637020273051,-0.0181433360872731,-0.021979964923492,-0.0251751594688786,-0.0198034952235254,-0.0175796698057092,-0.0216798911243555,-0.0278098009137824,-0.0189539458015114,-0.0274965554756792,-0.0245633889152136,-0.027127889394891,-0.0370836790688007,-0.0229817658752942,-0.0378742175244845,-0.0275664435119128,-0.025516558240127,-0.0233941785297263,0.000510352734979773,-0.0191006003348184,-0.0301290154919939,-0.0223218605341199,-0.00189249258567195,-0.0195436847913558,0.0103726170907892,-0.0241300119033051,-0.0185725080487841,-0.0263024915530864,-0.0189381731742486,-0.0262783164933116,-0.0115100148956123,-0.022016559329761,-0.0188991107345943,-0.00248485921732901,0.96711870292413,0.0378727223647964,8.36397195939971e-06
"RS11D",-0.0115740839015828,-0.0284360068046391,-0.0215384725545947,-0.00188497322080514,-0.0261490806154342,-0.0345465990657419,-0.0366975711946141,-0.0304802027453658,-0.023512340703192,-0.018707009827559,-0.00913311801201337,-0.0250451756541673,-0.0244121726319219,-0.0275796763807565,-0.0457937137744218,-0.0255668673012888,-0.0403033978138856,-0.00991402342507298,-0.0221364505866557,-0.0274488618539702,-0.0233903213850036,-0.0194302269417807,-0.0307282124954111,-0.0146344937505794,-0.0220988532693391,-0.0223665163783152,-0.0259128428777728,-0.031569684229761,-0.0334402367288264,-0.018386799340129,-0.0250623647269174,-0.0113863061304995,-0.0461035855615955,-0.0282451389681927,0.00097794596178857,-0.010337202095194,-0.0315361987792058,-0.0323204602571697,0.00980405560564171,0.087068712881491,0.977110502084127,1.91120498379286e-05
"RS12A",-0.0304981510972265,-0.0340468433691432,-0.0299771401818273,-0.0309786159884899,-0.0318252618883779,-0.0287667677957966,-0.0157953335069696,-0.00315967934399037,-0.0272165440896837,-0.0164588154400052,-0.0168188384796003,-0.00250598017017385,-0.00559554176075175,0.0019319094148567,0.0255976896910711,0.0269501193772231,0.960994353499207,-0.0270288855539792,-0.0126573132503703,-0.0363771190576708,-0.0300650039952826,-0.0329301180972208,-0.0401226829274911,-0.0201833894899471,-0.0314827988422709,-0.0115585478786085,-0.0312180210831667,-0.0478293941269532,-0.0349758319186191,-0.0175956862915107,-0.00324115371368405,-0.0386363850556269,-0.0340321164755077,-0.0261760464476081,-0.0297177348735258,-0.0216049380948857,-0.0256030238379067,-0.0192632556005544,-0.00768992605420107,-0.0437211760065207,-0.0356646140222105,1.09991490550763e-05
"RS12C",-0.0291597604138029,-0.0303613671013116,-0.0410108228642464,-0.0289672813990613,-0.028778006354967,-0.0247226856691118,-0.00539619393275334,0.0100147208805963,-0.0233753805664452,-0.0250042510476219,-0.014897284711403,0.0149397956670285,-0.0017226458128728,0.00725259306873492,0.026568026832743,0.98335063804336,0.160560939637449,-0.0233768256637776,-0.022946029046473,0.0604642632918544,-0.017129276656574,-0.0246654007065479,-0.0134496706058673,-0.0275676314590504,-0.0215356383087119,-0.0183940741254601,-0.0215052443585311,-0.0303702163047155,-0.0471586052506919,-0.00348942216037208,-0.0150313962793501,0.00312077038564177,-0.0305678046309979,-0.0288685443867515,-0.0152314304970386,-0.0112461843223156,-0.0231962015235011,-0.0242896361580736,-0.0113980214557793,-0.0412162529174335,-0.0219275074867073,-2.32638516354518e-05
