"","KEGGterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat"
"488","K10290",0.255049671945588,1,1,1
"1361","K24835",0.255877600553725,1,1,1
"690","K12826",0.256052888993467,1,1,1
"881","K15429",0.257338880946284,1,1,1
"745","K13190",0.257525622923499,1,1,1
"829","K14825",0.257562954747289,1,1,1
"545","K10801",0.257712226683327,1,1,1
"99","K01915",0.257848981334729,1,1,1
"327","K07192",0.258022924576329,1,1,1
"467","K09578",0.258345639537881,1,1,1
"541","K10767",0.258345639537881,1,1,1
"1063","K18723",0.258705093817207,1,1,1
"199","K04453",0.258915563466061,1,1,1
"1394","K25493",0.259051652853205,1,1,1
"1111","K19882",0.259088754904167,1,1,1
"573","K11257",0.259249464782631,1,1,1
"954","K16796",0.259422417356182,1,1,1
"1000","K17578",0.259434766356021,1,1,1
"1261","K23309",0.25952119157417,1,1,1
"38","K00759",0.259780280155788,1,1,1
"809","K14715",0.259841926459301,1,1,1
"335","K07375",0.259878906573023,1,1,1
"1080","K19373",0.259977492061426,1,1,1
"135","K03022",0.260211468166867,1,1,1
"781","K14325",0.260359122995421,1,1,1
"1106","K19757",0.260383723114567,1,1,1
"365","K08074",0.26115730094338,1,1,1
"353","K07939",0.26141458573585,1,1,1
"826","K14822",0.261426830187074,1,1,1
"1371","K24937",0.261696041899927,1,1,1
"892","K15544",0.261806082122518,1,1,1
"677","K12641",0.261879412572098,1,1,1
"1016","K17805",0.262087052882368,1,1,1
"184","K04370",0.262111468567617,1,1,1
"466","K09577",0.262392057968756,1,1,1
"362","K08067",0.262647940474959,1,1,1
"542","K10771",0.262915691364578,1,1,1
"123","K02437",0.263073755021372,1,1,1
"983","K17433",0.263243850097582,1,1,1
"635","K12035",0.263450216106484,1,1,1
"1047","K18422",0.263656386278015,1,1,1
"875","K15365",0.263765455691911,1,1,1
"889","K15485",0.263983428943407,1,1,1
"428","K09223",0.264116525877882,1,1,1
"961","K16866",0.264346225334949,1,1,1
"1213","K22375",0.264406631365573,1,1,1
"57","K01179",0.264491170916077,1,1,1
"853","K15146",0.264780764255749,1,1,1
"111","K02318",0.264901310274912,1,1,1
"792","K14525",0.264901310274912,1,1,1
"110","K02310",0.265322668008149,1,1,1
"360","K08057",0.265370767844983,1,1,1
"322","K06911",0.265478950591933,1,1,1
"766","K13868",0.265983028486121,1,1,1
"220","K04658",0.26605493429583,1,1,1
"351","K07930",0.266545574232706,1,1,1
"767","K13985",0.266915704164431,1,1,1
"572","K11150",0.267070700911065,1,1,1
"147","K03236",0.267368403334592,1,1,1
"1320","K24167",0.26738030128426,1,1,1
"539","K10753",0.267451672499197,1,1,1
"1341","K24627",0.267819970666674,1,1,1
"978","K17405",0.267831838528917,1,1,1
"982","K17427",0.267879301976541,1,1,1
"209","K04555",0.268009760268006,1,1,1
"418","K08900",0.268187500697342,1,1,1
"564","K11089",0.268211185648546,1,1,1
"461","K09537",0.268223026905286,1,1,1
"704","K12868",0.268270383796723,1,1,1
"27","K00600",0.268294057355483,1,1,1
"737","K13161",0.268376889099293,1,1,1
"1345","K24686",0.26838871893515,1,1,1
"643","K12194",0.268424203528122,1,1,1
"1392","K25470",0.268424203528122,1,1,1
"821","K14801",0.268447855823886,1,1,1
"48","K01052",0.268613329777517,1,1,1
"1269","K23388",0.268648767443321,1,1,1
"482","K10158",0.26887303254335,1,1,1
"534","K10735",0.269108775196195,1,1,1
"381","K08524",0.26917943234396,1,1,1
"380","K08517",0.269379461922226,1,1,1
"439","K09326",0.269438247334818,1,1,1
"477","K09855",0.269626216793669,1,1,1
"337","K07424",0.269661436570176,1,1,1
"1223","K22538",0.269673174771222,1,1,1
"669","K12586",0.269896036179538,1,1,1
"478","K09866",0.270387558052063,1,1,1
"1007","K17607",0.270481004687707,1,1,1
"646","K12198",0.270772657091111,1,1,1
"1257","K23293",0.270784311520074,1,1,1
"392","K08762",0.270959019600535,1,1,1
"129","K02728",0.271098639181358,1,1,1
"89","K01669",0.271133523586068,1,1,1
"271","K05751",0.271342657062104,1,1,1
"587","K11339",0.271389090757378,1,1,1
"571","K11135",0.271458713635812,1,1,1
"64","K01253",0.271470314216201,1,1,1
"870","K15290",0.271539898266531,1,1,1
"839","K14851",0.271644211737568,1,1,1
"83","K01514",0.271829471589438,1,1,1
"453","K09490",0.271829471589438,1,1,1
"445","K09402",0.27188731617513,1,1,1
"1067","K18739",0.272037602106534,1,1,1
"815","K14780",0.272406855060751,1,1,1
"464","K09568",0.272510531461615,1,1,1
"46","K00995",0.272671651114272,1,1,1
"400","K08805",0.273027740660651,1,1,1
"1304","K23912",0.273108018278033,1,1,1
"1311","K24051",0.273199705251127,1,1,1
"247","K05125",0.27321116169761,1,1,1
"171","K03691",0.273611514148895,1,1,1
"1073","K19196",0.27388533561958,1,1,1
"807","K14683",0.273908127943065,1,1,1
"846","K14998",0.273919522591806,1,1,1
"1014","K17794",0.274067561047972,1,1,1
"1005","K17597",0.274317696709728,1,1,1
"734","K13155",0.274419882471442,1,1,1
"116","K02333",0.274612672935862,1,1,1
"519","K10573",0.274612672935862,1,1,1
"980","K17413",0.274646663842466,1,1,1
"1167","K20656",0.274646663842466,1,1,1
"152","K03245",0.274714617717749,1,1,1
"324","K06978",0.274861722968383,1,1,1
"189","K04392",0.274952161819989,1,1,1
"417","K08892",0.275132838693971,1,1,1
"1052","K18490",0.275144122079995,1,1,1
"148","K03237",0.275414606962698,1,1,1
"891","K15523",0.275594591033344,1,1,1
"819","K14795",0.275673248244966,1,1,1
"742","K13173",0.275695712110033,1,1,1
"377","K08495",0.275740626987746,1,1,1
"293","K06210",0.27594253125581,1,1,1
"16","K00306",0.276546136704602,1,1,1
"756","K13516",0.276601864728719,1,1,1
"382","K08548",0.276613007028086,1,1,1
"232","K04889",0.2768245007568,1,1,1
"851","K15050",0.277091077584004,1,1,1
"378","K08497",0.277179793506073,1,1,1
"921","K16466",0.27719087794905,1,1,1
"1247","K23029",0.277467623072413,1,1,1
"507","K10410",0.277500785037736,1,1,1
"1224","K22564",0.277578123257485,1,1,1
"237","K04996",0.277831841760802,1,1,1
"109","K02222",0.277996984218444,1,1,1
"54","K01135",0.278040978517386,1,1,1
"712","K12893",0.278150883522467,1,1,1
"903","K15717",0.278183832488831,1,1,1
"86","K01540",0.278414182928425,1,1,1
"1258","K23296",0.278490852335942,1,1,1
"878","K15414",0.278665881479687,1,1,1
"970","K17262",0.278687739011135,1,1,1
"804","K14613",0.278698666013944,1,1,1
"744","K13187",0.278993249371687,1,1,1
"1278","K23542",0.279189158335591,1,1,1
"163","K03469",0.279210902177078,1,1,1
"1285","K23643",0.279243508984295,1,1,1
"1368","K24889",0.279254375530525,1,1,1
"1062","K18710",0.279297829757391,1,1,1
"1144","K20300",0.279352120606889,1,1,1
"1196","K21771",0.279428077433289,1,1,1
"146","K03217",0.279514813134498,1,1,1
"958","K16806",0.279666414983315,1,1,1
"114","K02328",0.279806975800419,1,1,1
"1234","K22816",0.279914959830466,1,1,1
"769","K14003",0.280238179124355,1,1,1
"592","K11428",0.280270440326866,1,1,1
"802","K14590",0.280270440326866,1,1,1
"597","K11481",0.280560291199943,1,1,1
"626","K11859",0.28075302269358,1,1,1
"347","K07897",0.28077441237354,1,1,1
"208","K04552",0.280785105339789,1,1,1
"816","K14784",0.280817176738689,1,1,1
"857","K15177",0.280956022581544,1,1,1
"1136","K20198",0.280998701721384,1,1,1
"953","K16790",0.28129689106187,1,1,1
"830","K14826",0.281392526921473,1,1,1
"1060","K18668",0.281413765359326,1,1,1
"1173","K20795",0.281456226966371,1,1,1
"727","K13121",0.281625869366629,1,1,1
"684","K12818",0.281689400888143,1,1,1
"484","K10264",0.281699984990243,1,1,1
"588","K11344",0.28178461160943,1,1,1
"904","K15734",0.282269612219771,1,1,1
"697","K12849",0.282458646667277,1,1,1
"26","K00572",0.282500596775544,1,1,1
"1065","K18732",0.28265772264427,1,1,1
"763","K13758",0.282730946731858,1,1,1
"779","K14292",0.282783210075125,1,1,1
"922","K16469",0.283148125889967,1,1,1
"145","K03143",0.283283250532168,1,1,1
"652","K12351",0.283718255803607,1,1,1
"1388","K25426",0.284140598068538,1,1,1
"924","K16513",0.284181679250616,1,1,1
"877","K15382",0.284407232675597,1,1,1
"862","K15187",0.28441746925969,1,1,1
"1195","K21754",0.284540200461782,1,1,1
"1039","K18189",0.284570852119232,1,1,1
"1208","K22137",0.284570852119232,1,1,1
"294","K06215",0.284642324112317,1,1,1
"670","K12592",0.284642324112317,1,1,1
"394","K08791",0.284764689111412,1,1,1
"674","K12614",0.284805432884538,1,1,1
"177","K04135",0.285018970951738,1,1,1
"1210","K22198",0.285018970951738,1,1,1
"813","K14769",0.285059574833049,1,1,1
"328","K07252",0.285171119576804,1,1,1
"489","K10291",0.285191382144095,1,1,1
"579","K11290",0.285211639074575,1,1,1
"900","K15685",0.285221765425104,1,1,1
"496","K10365",0.28526225672028,1,1,1
"1333","K24437",0.285282493898511,1,1,1
"1332","K24420",0.285312839070775,1,1,1
"920","K16465",0.285322951301349,1,1,1
"645","K12197",0.285333062117918,1,1,1
"483","K10260",0.285383594976741,1,1,1
"12","K00235",0.285565219762716,1,1,1
"912","K16197",0.286027272217505,1,1,1
"1186","K21347",0.286057300615581,1,1,1
"1218","K22420",0.286117318487869,1,1,1
"1372","K24940",0.286217232756703,1,1,1
"649","K12272",0.286456435835351,1,1,1
"1029","K17928",0.286456435835351,1,1,1
"1009","K17662",0.286704713758443,1,1,1
"332","K07298",0.286952075804017,1,1,1
