"","KEGGterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","bh_adjust"
"128","K03129",0.0232844949145765,1,1,1,0.0401355244305241
"129","K04798",0.023314484424447,1,1,1,0.0401355244305241
"130","K10271",0.0233699151396017,1,1,1,0.0401355244305241
"131","K09640",0.0235111517131027,1,1,1,0.0401355244305241
"132","K04371",0.0236063303890691,1,1,1,0.0401355244305241
"133","K24464",0.0236481713853561,1,1,1,0.0401355244305241
"134","K19197",0.0240048308874689,1,1,1,0.0401355244305241
"135","K20349",0.0241099537757143,1,1,1,0.0401355244305241
"136","K03662",0.0247403146800091,1,1,1,0.0401355244305241
"137","K14692",0.0248217459909048,1,1,1,0.0401355244305241
"138","K17921",0.0249262691029311,1,1,1,0.0401355244305241
"139","K09106",0.02503519388851,1,1,1,0.0401355244305241
"140","K15613",0.0250375084507445,1,1,1,0.0401355244305241
"141","K17809",0.0253440341537202,1,1,1,0.0401355244305241
"142","K01511",0.0259041514506472,1,1,1,0.0401355244305241
"143","K20638",0.0263283181557635,1,1,1,0.0401355244305241
"144","K11187",0.0264971502992813,1,1,1,0.0401355244305241
"145","K00006",0.0265014501317947,1,1,1,0.0401355244305241
"146","K09228",0.0265078970657159,1,1,1,0.0401355244305241
"147","K12493",0.0268694623343825,1,1,1,0.0401355244305241
"148","K25166",0.0272897523860475,1,1,1,0.0401355244305241
"149","K08110",0.0273685469031054,1,1,1,0.0401355244305241
"150","K16541",0.0274173905942316,1,1,1,0.0401355244305241
"151","K17887",0.0275352791794268,1,1,1,0.0401355244305241
"152","K09431",0.0276720958277163,1,1,1,0.0401355244305241
"153","K01456",0.0277002847897358,1,1,1,0.0401355244305241
"154","K11429",0.027726497297821,1,1,1,0.0401355244305241
"155","K12373",0.0277563398914507,1,1,1,0.0401355244305241
"156","K03094",0.0278304142782929,1,1,1,0.0401355244305241
"157","K15010",0.0280961970385573,1,1,1,0.0401355244305241
"158","K14286",0.0282175211810246,1,1,1,0.0401355244305241
"159","K23451",0.028382752324261,1,1,1,0.0401355244305241
"160","K12389",0.0285588111599676,1,1,1,0.0401355244305241
"161","K18086",0.0291299590331142,1,1,1,0.0401355244305241
"162","K03036",0.029131462537444,1,1,1,0.0401355244305241
"163","K01332",0.0292695634124009,1,1,1,0.0401355244305241
"164","K16311",0.0293827943077291,1,1,1,0.0401355244305241
"165","K08793",0.0295552636896354,1,1,1,0.0401355244305241
"166","K09585",0.0296612733857077,1,1,1,0.0401355244305241
"167","K12662",0.0298721176045408,1,1,1,0.0401355244305241
"168","K17576",0.0299985110382255,1,1,1,0.0401355244305241
"169","K24024",0.0300867977186084,1,1,1,0.0401355244305241
"170","K20840",0.0302052402267355,1,1,1,0.0401355244305241
"171","K12820",0.0304873766582723,1,1,1,0.0401355244305241
"172","K04560",0.0308015124860968,1,1,1,0.0401355244305241
"173","K11968",0.0313965508767856,1,1,1,0.0401355244305241
"174","K04615",0.0315233162863642,1,1,1,0.0401355244305241
"175","K09275",0.0317089093658277,1,1,1,0.0401355244305241
"176","K24049",0.0317374585165263,1,1,1,0.0401355244305241
"177","K13304",0.0318430987807781,1,1,1,0.0401355244305241
"178","K25163",0.0319499465301614,1,1,1,0.0401355244305241
"179","K00036",0.0320725422791327,1,1,1,0.0401355244305241
"180","K24813",0.0320740807770909,1,1,1,0.0401355244305241
"181","K05126",0.0321100746055537,1,1,1,0.0401355244305241
"182","K04950",0.0321533223617095,1,1,1,0.0401355244305241
"183","K09232",0.0321909068757808,1,1,1,0.0401355244305241
"184","K18078",0.0321991325360151,1,1,1,0.0401355244305241
"185","K01217",0.032282040277569,1,1,1,0.0401355244305241
"186","K22985",0.0323512249309184,1,1,1,0.0401355244305241
"187","K10369",0.0325859824190479,1,1,1,0.0401355244305241
"188","K24927",0.032683649338468,1,1,1,0.0401355244305241
"189","K08654",0.0327197659580149,1,1,1,0.0401355244305241
"190","K20685",0.0327699260823243,1,1,1,0.0401355244305241
"191","K07195",0.032776007000536,1,1,1,0.0401355244305241
"192","K10532",0.0328070257935704,1,1,1,0.0401355244305241
"193","K06051",0.032811737388983,1,1,1,0.0401355244305241
"194","K19521",0.0328298904050612,1,1,1,0.0401355244305241
"195","K23730",0.0328520357362631,1,1,1,0.0401355244305241
"196","K08840",0.0329108901571286,1,1,1,0.0401355244305241
"197","K12580",0.0329535386947233,1,1,1,0.0401355244305241
"198","K18595",0.0329575313440046,1,1,1,0.0401355244305241
"199","K17943",0.0330988361168828,1,1,1,0.0401355244305241
"200","K02330",0.033108101091405,1,1,1,0.0401355244305241
"201","K14007",0.0331464573494631,1,1,1,0.0401355244305241
"202","K04424",0.0333434959730081,1,1,1,0.0401355244305241
"203","K08546",0.0333559775661479,1,1,1,0.0401355244305241
"204","K18024",0.0334445277223075,1,1,1,0.0401355244305241
"205","K12397",0.0334811903171265,1,1,1,0.0401355244305241
"206","K22647",0.0335276148669815,1,1,1,0.0401355244305241
"207","K17902",0.0336261319475293,1,1,1,0.0401355244305241
"208","K23859",0.03371396073481,1,1,1,0.0401355244305241
"209","K01868",0.0338727535435413,1,1,1,0.0401355244305241
"210","K12641",0.0338779255859467,1,1,1,0.0401355244305241
"211","K04421",0.0340050276020521,1,1,1,0.0401355244305241
"212","K09608",0.0340995456844821,1,1,1,0.0401355244305241
"213","K20703",0.0341046815780593,1,1,1,0.0401355244305241
"214","K16474",0.0341925065726721,1,1,1,0.0401355244305241
"215","K10641",0.0344335827312542,1,1,1,0.0401355244305241
"216","K10609",0.0345528049155451,1,1,1,0.0401355244305241
"217","K24068",0.0345679924155861,1,1,1,0.0401355244305241
"218","K24006",0.03477922144628,1,1,1,0.0401355244305241
"219","K23583",0.0348720877970082,1,1,1,0.0401355244305241
"220","K21398",0.0349184171446427,1,1,1,0.0401355244305241
"221","K01414",0.035008997204676,1,1,1,0.0401355244305241
"222","K02331",0.0352816220811469,1,1,1,0.0401355244305241
"223","K13763",0.0353186948511558,1,1,1,0.0401355244305241
"224","K05749",0.0354542425276661,1,1,1,0.0401355244305241
"225","K14206",0.0356704711285433,1,1,1,0.0401355244305241
"226","K10395",0.0357825639306789,1,1,1,0.0401355244305241
"227","K12487",0.0359444724124945,1,1,1,0.0401355244305241
"228","K17600",0.0359638178561223,1,1,1,0.0401355244305241
"229","K19398",0.036248889678919,1,1,1,0.0401355244305241
"230","K20183",0.0362698293930772,1,1,1,0.0401355244305241
"231","K20051",0.0364147953253924,1,1,1,0.0401355244305241
"232","K01769",0.0364896773131997,1,1,1,0.0401355244305241
"233","K22656",0.0365264525412766,1,1,1,0.0401355244305241
"234","K01408",0.036584485097254,1,1,1,0.0401355244305241
"235","K10423",0.0366836961375189,1,1,1,0.0401355244305241
"236","K24768",0.0369009820375104,1,1,1,0.0401355244305241
"237","K19360",0.037052673037914,1,1,1,0.0401355244305241
"238","K01469",0.0371502527182481,1,1,1,0.0401355244305241
"239","K16469",0.0371798075150979,1,1,1,0.0401355244305241
"240","K03685",0.0375583080542309,1,1,1,0.0402167851166759
"241","K11447",0.0376432941885466,1,1,1,0.0402167851166759
"242","K07817",0.0378729541001621,1,1,1,0.0402167851166759
"243","K22285",0.0378785999354738,1,1,1,0.0402167851166759
"244","K20174",0.0384123038016019,1,1,1,0.0405284586762653
"245","K20644",0.0384863270375387,1,1,1,0.0405284586762653
"246","K18437",0.0387410153968695,1,1,1,0.0406308210259851
"247","K12460",0.0391495147044357,1,1,1,0.0407767165582231
"248","K24223",0.0391962236683695,1,1,1,0.0407767165582231
"249","K20292",0.0394619066863945,1,1,1,0.040848143158516
"250","K20103",0.0395815340683295,1,1,1,0.040848143158516
"251","K05164",0.0400733374224587,1,1,1,0.041190920537826
"252","K24498",0.0412396798258176,1,1,1,0.0422215769645275
"253","K20632",0.0416393746242492,1,1,1,0.0424622871662304
"254","K12169",0.0421515931806673,1,1,1,0.0428153977976857
"255","K23664",0.0438819000333654,1,1,1,0.0443981576808167
"256","K06699",0.0443752690859755,1,1,1,0.0447219508757097
"257","K10361",0.046198538575202,1,1,1,0.0463782994256892
